GO	GO_Desc	Count
GO:0006412	translation	161
GO:0006508	proteolysis	157
GO:0032259	methylation	126
GO:0005975	carbohydrate metabolic process	92
GO:0015031	protein transport	80
GO:0007165	signal transduction	79
GO:0006355	regulation of DNA-templated transcription	72
GO:0006886	intracellular protein transport	70
GO:0006281	DNA repair	68
GO:0016567	protein ubiquitination	66
GO:0006629	lipid metabolic process	57
GO:0015979	photosynthesis	54
GO:0000398	mRNA splicing, via spliceosome	53
GO:0016192	vesicle-mediated transport	48
GO:0051301	cell division	47
GO:0006457	protein folding	46
GO:0006486	protein glycosylation	46
GO:0006364	rRNA processing	45
GO:0006357	regulation of transcription by RNA polymerase II	43
GO:0006310	DNA recombination	42
GO:0006633	fatty acid biosynthetic process	41
GO:0000272	polysaccharide catabolic process	36
GO:0006397	mRNA processing	36
GO:0006511	ubiquitin-dependent protein catabolic process	33
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	30
GO:0006396	RNA processing	29
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	29
GO:0007018	microtubule-based movement	29
GO:0016579	protein deubiquitination	29
GO:0015074	DNA integration	28
GO:0035556	intracellular signal transduction	28
GO:0006099	tricarboxylic acid cycle	27
GO:0055085	transmembrane transport	27
GO:0000724	double-strand break repair via homologous recombination	25
GO:0009058	biosynthetic process	24
GO:0045944	positive regulation of transcription by RNA polymerase II	23
GO:0006606	protein import into nucleus	22
GO:0034599	cellular response to oxidative stress	22
GO:0016226	iron-sulfur cluster assembly	21
GO:0006260	DNA replication	20
GO:0000209	protein polyubiquitination	19
GO:0006096	glycolytic process	19
GO:0006351	DNA-templated transcription	19
GO:0006487	protein N-linked glycosylation	19
GO:0051603	proteolysis involved in protein catabolic process	19
GO:0042254	ribosome biogenesis	17
GO:0006298	mismatch repair	16
GO:0008033	tRNA processing	16
GO:0008380	RNA splicing	16
GO:0030488	tRNA methylation	16
GO:0051321	meiotic cell cycle	16
GO:0006284	base-excision repair	15
GO:0006289	nucleotide-excision repair	15
GO:0006541	glutamine metabolic process	15
GO:0042744	hydrogen peroxide catabolic process	15
GO:0045454	cell redox homeostasis	15
GO:0000028	ribosomal small subunit assembly	14
GO:0000278	mitotic cell cycle	14
GO:0006865	amino acid transport	14
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	14
GO:0006891	intra-Golgi vesicle-mediated transport	14
GO:0006914	autophagy	14
GO:0009765	photosynthesis, light harvesting	14
GO:0010468	regulation of gene expression	14
GO:0015995	chlorophyll biosynthetic process	14
GO:0006270	DNA replication initiation	13
GO:0006325	chromatin organization	13
GO:0006406	mRNA export from nucleus	13
GO:0009791	post-embryonic development	13
GO:0032543	mitochondrial translation	13
GO:0048608	reproductive structure development	13
GO:0000045	autophagosome assembly	12
GO:0000963	mitochondrial RNA processing	12
GO:0006108	malate metabolic process	12
GO:0006367	transcription initiation at RNA polymerase II promoter	12
GO:0006368	transcription elongation by RNA polymerase II	12
GO:0006400	tRNA modification	12
GO:0006465	signal peptide processing	12
GO:0006635	fatty acid beta-oxidation	12
GO:0006782	protoporphyrinogen IX biosynthetic process	12
GO:0006869	lipid transport	12
GO:0008652	amino acid biosynthetic process	12
GO:0009073	aromatic amino acid family biosynthetic process	12
GO:0016042	lipid catabolic process	12
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	12
