InterPro	InterPro_Desc	Count
IPR027417	P-loop containing nucleoside triphosphate hydrolase	516
IPR011009	Protein kinase-like domain superfamily	283
IPR000719	Protein kinase domain	232
IPR036291	NAD(P)-binding domain superfamily	229
IPR011990	Tetratricopeptide-like helical domain superfamily	175
IPR015943	WD40/YVTN repeat-like-containing domain superfamily	174
IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	174
IPR016024	Armadillo-type fold	173
IPR013083	Zinc finger, RING/FYVE/PHD-type	172
IPR029058	Alpha/Beta hydrolase fold	157
IPR036322	WD40-repeat-containing domain superfamily	149
IPR003593	AAA+ ATPase domain	146
IPR001680	WD40 repeat	141
IPR017441	Protein kinase, ATP binding site	134
IPR008271	Serine/threonine-protein kinase, active site	133
IPR011989	Armadillo-like helical	132
IPR032675	Leucine-rich repeat domain superfamily	131
IPR036249	Thioredoxin-like superfamily	114
IPR035979	RNA-binding domain superfamily	107
IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	105
IPR036259	MFS transporter superfamily	101
IPR001650	Helicase, C-terminal domain-like	100
IPR014001	Helicase superfamily 1/2, ATP-binding domain	100
IPR043502	DNA/RNA polymerase superfamily	98
IPR017853	Glycoside hydrolase superfamily	97
IPR036188	FAD/NAD(P)-binding domain superfamily	97
IPR000504	RNA recognition motif domain	96
IPR000477	Reverse transcriptase domain	88
IPR001841	Zinc finger, RING-type	88
IPR012340	Nucleic acid-binding, OB-fold	87
IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	83
IPR019734	Tetratricopeptide repeat	78
IPR043128	Reverse transcriptase/Diguanylate cyclase domain	74
IPR036412	HAD-like superfamily	73
IPR002347	Short-chain dehydrogenase/reductase SDR	72
IPR023214	HAD superfamily	70
IPR019775	WD40 repeat, conserved site	69
IPR029044	Nucleotide-diphospho-sugar transferases	69
IPR036770	Ankyrin repeat-containing domain superfamily	69
IPR011545	DEAD/DEAH box helicase domain	66
IPR036047	F-box-like domain superfamily	66
IPR013785	Aldolase-type TIM barrel	63
IPR050167	Serine/threonine-protein kinase	62
IPR002110	Ankyrin repeat	61
IPR036388	Winged helix-like DNA-binding domain superfamily	61
IPR003439	ABC transporter-like, ATP-binding domain	60
IPR036869	Chaperone J-domain superfamily	60
IPR001623	DnaJ domain	58
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	56
IPR011701	Major facilitator superfamily	56
IPR001810	F-box domain	55
IPR015421	Pyridoxal phosphate-dependent transferase, major domain	53
IPR015424	Pyridoxal phosphate-dependent transferase	53
IPR038765	Papain-like cysteine peptidase superfamily	53
IPR003959	ATPase, AAA-type, core	52
IPR013783	Immunoglobulin-like fold	52
IPR036390	Winged helix DNA-binding domain superfamily	52
IPR011992	EF-hand domain pair	51
IPR029071	Ubiquitin-like domain superfamily	51
IPR001611	Leucine-rich repeat	47
IPR004827	Basic-leucine zipper domain	47
IPR029052	Metallo-dependent phosphatase-like	47
IPR046341	SET domain superfamily	47
IPR009057	Homedomain-like superfamily	46
IPR036396	Cytochrome P450 superfamily	46
IPR001128	Cytochrome P450	45
IPR002048	EF-hand domain	45
IPR005225	Small GTP-binding domain	45
IPR013766	Thioredoxin domain	45
IPR015422	Pyridoxal phosphate-dependent transferase, small domain	45
IPR018247	EF-Hand 1, calcium-binding site	44
IPR020472	G-protein beta WD-40 repeat	44
IPR000073	Alpha/beta hydrolase fold-1	43
IPR017871	ABC transporter-like, conserved site	43
IPR017907	Zinc finger, RING-type, conserved site	43
IPR018108	Mitochondrial substrate/solute carrier	42
IPR023395	Mitochondrial carrier domain superfamily	42
IPR036691	Endonuclease/exonuclease/phosphatase superfamily	42
IPR014710	RmlC-like jelly roll fold	41
IPR016181	Acyl-CoA N-acyltransferase	41
IPR022796	Chlorophyll A-B binding protein	39
IPR046347	Basic-leucine zipper domain superfamily	39
IPR020568	Ribosomal protein uS5 domain 2-type superfamily	38
IPR020846	Major facilitator superfamily domain	38
IPR001005	SANT/Myb domain	37
IPR002401	Cytochrome P450, E-class, group I	37
IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	37
IPR016135	Ubiquitin-conjugating enzyme/RWD-like	37
IPR001214	SET domain	35
IPR002893	Zinc finger, MYND-type	35
IPR002921	Fungal lipase-type domain	35
IPR011011	Zinc finger, FYVE/PHD-type	35
IPR000182	GNAT domain	34
IPR012337	Ribonuclease H-like superfamily	33
IPR036397	Ribonuclease H superfamily	33
IPR001965	Zinc finger, PHD-type	32
IPR009000	Translation protein, beta-barrel domain superfamily	32
IPR003960	ATPase, AAA-type, conserved site	31
IPR029045	ClpP/crotonase-like domain superfamily	31
IPR029055	Nucleophile aminohydrolases, N-terminal	31
IPR036282	Glutathione S-transferase, C-terminal domain superfamily	31
IPR000330	SNF2, N-terminal	30
IPR001547	Glycoside hydrolase, family 5	30
IPR001878	Zinc finger, CCHC-type	30
IPR013780	Glycosyl hydrolase, all-beta	30
IPR036875	Zinc finger, CCHC-type superfamily	30
IPR038718	SNF2-like, N-terminal domain superfamily	30
IPR049730	SNF2/RAD5-like, C-terminal helicase domain	30
IPR052055	Hepadnavirus polymerase/reverse transcriptase	30
IPR000571	Zinc finger, CCCH-type	29
IPR009060	UBA-like superfamily	29
IPR009072	Histone-fold	29
IPR017972	Cytochrome P450, conserved site	29
IPR036514	SGNH hydrolase superfamily	29
IPR000626	Ubiquitin-like domain	28
IPR002067	Mitochondrial carrier protein	28
IPR005828	Major facilitator, sugar transporter-like	28
IPR005829	Sugar transporter, conserved site	28
IPR015915	Kelch-type beta propeller	28
IPR036457	PPM-type phosphatase-like domain superfamily	28
IPR041569	AAA ATPase, AAA+ lid domain	28
IPR001932	PPM-type phosphatase-like domain	27
IPR008979	Galactose-binding-like domain superfamily	27
IPR010920	LSM domain superfamily	27
IPR011032	GroES-like superfamily	27
IPR014756	Immunoglobulin E-set	27
IPR036961	Kinesin motor domain superfamily	27
IPR045864	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)	27
IPR003613	U-box domain	26
IPR005135	Endonuclease/exonuclease/phosphatase	26
IPR009003	Peptidase S1, PA clan	26
