GO	GO_Desc	Count
GO:0005524	ATP binding	866
GO:0046872	metal ion binding	574
GO:0003723	RNA binding	283
GO:0003677	DNA binding	276
GO:0016887	ATP hydrolysis activity	213
GO:0016787	hydrolase activity	184
GO:0003735	structural constituent of ribosome	183
GO:0008270	zinc ion binding	173
GO:0016491	oxidoreductase activity	166
GO:0003676	nucleic acid binding	140
GO:0004672	protein kinase activity	118
GO:0005525	GTP binding	118
GO:0004674	protein serine/threonine kinase activity	112
GO:0003700	DNA-binding transcription factor activity	95
GO:0005506	iron ion binding	92
GO:0016757	glycosyltransferase activity	90
GO:0022857	transmembrane transporter activity	89
GO:0020037	heme binding	84
GO:0016301	kinase activity	83
GO:0003924	GTPase activity	81
GO:0005509	calcium ion binding	81
GO:0003729	mRNA binding	80
GO:0004386	helicase activity	78
GO:0008168	methyltransferase activity	73
GO:0004252	serine-type endopeptidase activity	67
GO:0003743	translation initiation factor activity	58
GO:0004497	monooxygenase activity	58
GO:0000287	magnesium ion binding	52
GO:0030170	pyridoxal phosphate binding	52
GO:0003824	catalytic activity	51
GO:0051539	4 iron, 4 sulfur cluster binding	51
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	50
GO:0051082	unfolded protein binding	50
GO:0019843	rRNA binding	48
GO:0016740	transferase activity	47
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	46
GO:0051537	2 iron, 2 sulfur cluster binding	46
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	44
GO:0008017	microtubule binding	41
GO:0071949	FAD binding	41
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	40
GO:0004842	ubiquitin-protein transferase activity	39
GO:0051287	NAD binding	39
GO:0140359	ABC-type transporter activity	39
GO:0061630	ubiquitin protein ligase activity	38
GO:0004222	metalloendopeptidase activity	35
GO:0016168	chlorophyll binding	35
GO:0046982	protein heterodimerization activity	34
GO:0050660	flavin adenine dinucleotide binding	34
GO:0004519	endonuclease activity	33
GO:0000049	tRNA binding	32
GO:0004843	cysteine-type deubiquitinase activity	32
GO:0003724	RNA helicase activity	31
GO:0140658	ATP-dependent chromatin remodeler activity	30
GO:0000166	nucleotide binding	29
GO:0003682	chromatin binding	29
GO:0003697	single-stranded DNA binding	29
GO:0003746	translation elongation factor activity	28
GO:0004722	protein serine/threonine phosphatase activity	28
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	28
GO:0015297	antiporter activity	27
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	25
GO:0009055	electron transfer activity	25
GO:0140662	ATP-dependent protein folding chaperone	25
GO:0004176	ATP-dependent peptidase activity	24
GO:0016874	ligase activity	24
GO:0043130	ubiquitin binding	24
GO:0003777	microtubule motor activity	23
GO:0003964	RNA-directed DNA polymerase activity	23
GO:0016829	lyase activity	23
GO:0003684	damaged DNA binding	22
GO:0008237	metallopeptidase activity	22
GO:0015293	symporter activity	22
GO:0042393	histone binding	22
GO:0051536	iron-sulfur cluster binding	22
GO:0008289	lipid binding	21
GO:0008483	transaminase activity	21
GO:0050661	NADP binding	21
GO:0003690	double-stranded DNA binding	20
GO:0003712	transcription coregulator activity	20
GO:0005096	GTPase activator activity	20
GO:0008233	peptidase activity	20
GO:0010181	FMN binding	20
GO:0016279	protein-lysine N-methyltransferase activity	20
GO:0016791	phosphatase activity	20
GO:0030246	carbohydrate binding	20
GO:0031267	small GTPase binding	20
GO:0003887	DNA-directed DNA polymerase activity	19
GO:0003993	acid phosphatase activity	19
GO:0043565	sequence-specific DNA binding	19
GO:0000149	SNARE binding	18
GO:0005507	copper ion binding	18
GO:0030527	structural constituent of chromatin	18
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	18
GO:0051087	protein-folding chaperone binding	18
GO:0004721	phosphoprotein phosphatase activity	17
GO:0005516	calmodulin binding	17
GO:0043022	ribosome binding	17
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	16
GO:0016985	mannan endo-1,4-beta-mannosidase activity	16
GO:0017056	structural constituent of nuclear pore	16
GO:0046983	protein dimerization activity	16
GO:0003713	transcription coactivator activity	15
GO:0004197	cysteine-type endopeptidase activity	15
GO:0005484	SNAP receptor activity	15
GO:0008173	RNA methyltransferase activity	15
GO:0009982	pseudouridine synthase activity	15
GO:0015035	protein-disulfide reductase activity	15
GO:0016706	2-oxoglutarate-dependent dioxygenase activity	15
GO:0016853	isomerase activity	15
GO:0031625	ubiquitin protein ligase binding	15
GO:0003678	DNA helicase activity	14
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	14
GO:0005085	guanyl-nucleotide exchange factor activity	14
GO:0046961	proton-transporting ATPase activity, rotational mechanism	14
GO:0004190	aspartic-type endopeptidase activity	13
GO:0004601	peroxidase activity	13
GO:0015145	monosaccharide transmembrane transporter activity	13
GO:0016746	acyltransferase activity	13
GO:0030145	manganese ion binding	13
GO:0030983	mismatched DNA binding	13
GO:0044183	protein folding chaperone	13
GO:0140664	ATP-dependent DNA damage sensor activity	13
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	12
GO:0004622	lysophospholipase activity	12
GO:0005198	structural molecule activity	12
GO:0008081	phosphoric diester hydrolase activity	12
GO:0010277	chlorophyllide a oxygenase activity	12
GO:0016251	RNA polymerase II general transcription initiation factor activity	12
GO:0016779	nucleotidyltransferase activity	12
GO:2001070	starch binding	12
GO:0000175	3'-5'-RNA exonuclease activity	11
GO:0008198	ferrous iron binding	11
GO:0008236	serine-type peptidase activity	11
GO:0016413	O-acetyltransferase activity	11
GO:0031386	protein tag activity	11
GO:0060090	molecular adaptor activity	11
GO:0000976	transcription cis-regulatory region binding	10
GO:0003954	NADH dehydrogenase activity	10
GO:0004144	diacylglycerol O-acyltransferase activity	10
GO:0004407	histone deacetylase activity	10
GO:0005249	voltage-gated potassium channel activity	10
GO:0008324	monoatomic cation transmembrane transporter activity	10
GO:0008422	beta-glucosidase activity	10
GO:0015095	magnesium ion transmembrane transporter activity	10
GO:0015171	amino acid transmembrane transporter activity	10
GO:0031177	phosphopantetheine binding	10
GO:0031418	L-ascorbic acid binding	10
GO:0031593	polyubiquitin modification-dependent protein binding	10
GO:0032934	sterol binding	10
GO:0035091	phosphatidylinositol binding	10
GO:0043023	ribosomal large subunit binding	10
GO:0070006	metalloaminopeptidase activity	10
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	9
GO:0004683	calcium/calmodulin-dependent protein kinase activity	9
GO:0005247	voltage-gated chloride channel activity	9
GO:0008137	NADH dehydrogenase (ubiquinone) activity	9
GO:0008171	O-methyltransferase activity	9
GO:0008199	ferric iron binding	9
GO:0009931	calcium-dependent protein serine/threonine kinase activity	9
GO:0016298	lipase activity	9
GO:0016651	oxidoreductase activity, acting on NAD(P)H	9
GO:0030020	extracellular matrix structural constituent conferring tensile strength	9
GO:0042910	xenobiotic transmembrane transporter activity	9
GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	9
GO:0051015	actin filament binding	9
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	8
GO:0002161	aminoacyl-tRNA editing activity	8
GO:0003727	single-stranded RNA binding	8
GO:0004527	exonuclease activity	8
GO:0005315	phosphate transmembrane transporter activity	8
GO:0008080	N-acetyltransferase activity	8
GO:0008139	nuclear localization sequence binding	8
GO:0008312	7S RNA binding	8
GO:0008374	O-acyltransferase activity	8
GO:0016409	palmitoyltransferase activity	8
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	8
GO:0016758	hexosyltransferase activity	8
GO:0016763	pentosyltransferase activity	8
GO:0031490	chromatin DNA binding	8
GO:0031491	nucleosome binding	8
GO:0051213	dioxygenase activity	8
GO:0000030	mannosyltransferase activity	7
GO:0000993	RNA polymerase II complex binding	7
GO:0001054	RNA polymerase I activity	7
GO:0001055	RNA polymerase II activity	7
GO:0001671	ATPase activator activity	7
GO:0003688	DNA replication origin binding	7
GO:0003714	transcription corepressor activity	7
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	7
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	7
GO:0004089	carbonate dehydratase activity	7
GO:0004373	alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity	7
GO:0004402	histone acetyltransferase activity	7
GO:0004659	prenyltransferase activity	7
GO:0005254	chloride channel activity	7
GO:0005384	manganese ion transmembrane transporter activity	7
GO:0008194	UDP-glycosyltransferase activity	7
GO:0008320	protein transmembrane transporter activity	7
GO:0008408	3'-5' exonuclease activity	7
GO:0009881	photoreceptor activity	7
GO:0017025	TBP-class protein binding	7
GO:0030976	thiamine pyrophosphate binding	7
GO:0031369	translation initiation factor binding	7
GO:0042802	identical protein binding	7
GO:0043015	gamma-tubulin binding	7
GO:0045505	dynein intermediate chain binding	7
GO:0048038	quinone binding	7
