GO	GO_Desc	Count
GO:0006508	proteolysis	57
GO:0006952	defense response	40
GO:0016567	protein ubiquitination	32
GO:0005975	carbohydrate metabolic process	30
GO:0051707	response to other organism	29
GO:0098542	defense response to other organism	27
GO:0006355	regulation of DNA-templated transcription	24
GO:0007166	cell surface receptor signaling pathway	21
GO:0016101	diterpenoid metabolic process	17
GO:0015031	protein transport	16
GO:0032259	methylation	15
GO:0017148	negative regulation of translation	14
GO:0006412	translation	13
GO:0019674	NAD metabolic process	10
GO:0000398	mRNA splicing, via spliceosome	9
GO:0006741	NADP biosynthetic process	9
GO:0006357	regulation of transcription by RNA polymerase II	8
GO:0006486	protein glycosylation	8
GO:0006511	ubiquitin-dependent protein catabolic process	8
GO:0009694	jasmonic acid metabolic process	8
GO:0009696	salicylic acid metabolic process	8
GO:0050832	defense response to fungus	8
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	7
GO:0006383	transcription by RNA polymerase III	7
GO:0009725	response to hormone	7
GO:0009734	auxin-activated signaling pathway	7
GO:0030639	polyketide biosynthetic process	7
GO:0048544	recognition of pollen	7
GO:0006284	base-excision repair	6
GO:0006417	regulation of translation	6
GO:0006869	lipid transport	6
GO:0009451	RNA modification	6
GO:0016102	diterpenoid biosynthetic process	6
GO:0016926	protein desumoylation	6
GO:0071555	cell wall organization	6
GO:0006633	fatty acid biosynthetic process	5
GO:0009435	NAD biosynthetic process	5
GO:0009813	flavonoid biosynthetic process	5
GO:0016192	vesicle-mediated transport	5
GO:0044206	UMP salvage	5
GO:0044211	CTP salvage	5
GO:0045489	pectin biosynthetic process	5
GO:0045944	positive regulation of transcription by RNA polymerase II	5
GO:0048367	shoot system development	5
GO:0000209	protein polyubiquitination	4
GO:0000272	polysaccharide catabolic process	4
GO:0000724	double-strand break repair via homologous recombination	4
GO:0006351	DNA-templated transcription	4
GO:0006629	lipid metabolic process	4
GO:0006865	amino acid transport	4
GO:0006887	exocytosis	4
GO:0006979	response to oxidative stress	4
GO:0007052	mitotic spindle organization	4
GO:0007131	reciprocal meiotic recombination	4
GO:0009658	chloroplast organization	4
GO:0031047	regulatory ncRNA-mediated gene silencing	4
GO:0032465	regulation of cytokinesis	4
GO:0042795	snRNA transcription by RNA polymerase II	4
GO:0042796	snRNA transcription by RNA polymerase III	4
GO:0051453	regulation of intracellular pH	4
GO:0070483	detection of hypoxia	4
GO:0072344	rescue of stalled ribosome	4
GO:0006099	tricarboxylic acid cycle	3
GO:0006265	DNA topological change	3
GO:0006398	mRNA 3'-end processing by stem-loop binding and cleavage	3
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	3
GO:0007163	establishment or maintenance of cell polarity	3
GO:0008360	regulation of cell shape	3
GO:0008610	lipid biosynthetic process	3
GO:0009639	response to red or far red light	3
GO:0009733	response to auxin	3
GO:0009959	negative gravitropism	3
GO:0010073	meristem maintenance	3
GO:0010143	cutin biosynthetic process	3
GO:0016075	rRNA catabolic process	3
GO:0016579	protein deubiquitination	3
GO:0019748	secondary metabolic process	3
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	3
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3
GO:0032957	inositol trisphosphate metabolic process	3
GO:0034198	cellular response to amino acid starvation	3
GO:0034475	U4 snRNA 3'-end processing	3
GO:0042545	cell wall modification	3
GO:0042742	defense response to bacterium	3
GO:0044255	cellular lipid metabolic process	3
GO:0045490	pectin catabolic process	3
GO:0046488	phosphatidylinositol metabolic process	3
GO:0048364	root development	3
GO:0051225	spindle assembly	3
GO:0051301	cell division	3
GO:0071028	nuclear mRNA surveillance	3
GO:0071051	poly(A)-dependent snoRNA 3'-end processing	3
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	2
GO:0000373	Group II intron splicing	2
GO:0000387	spliceosomal snRNP assembly	2
GO:0000390	spliceosomal complex disassembly	2
GO:0001678	intracellular glucose homeostasis	2
GO:0002181	cytoplasmic translation	2
GO:0005992	trehalose biosynthetic process	2
GO:0006032	chitin catabolic process	2
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	2
GO:0006096	glycolytic process	2
GO:0006139	nucleobase-containing compound metabolic process	2
GO:0006281	DNA repair	2
GO:0006367	transcription initiation at RNA polymerase II promoter	2
GO:0006405	RNA export from nucleus	2
GO:0006506	GPI anchor biosynthetic process	2
GO:0006606	protein import into nucleus	2
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	2
GO:0006694	steroid biosynthetic process	2
GO:0006879	intracellular iron ion homeostasis	2
GO:0006885	regulation of pH	2
GO:0006886	intracellular protein transport	2
GO:0006891	intra-Golgi vesicle-mediated transport	2
GO:0007005	mitochondrion organization	2
GO:0008285	negative regulation of cell population proliferation	2
GO:0009073	aromatic amino acid family biosynthetic process	2
GO:0009098	L-leucine biosynthetic process	2
GO:0009415	response to water	2
GO:0009611	response to wounding	2
GO:0009653	anatomical structure morphogenesis	2
GO:0009691	cytokinin biosynthetic process	2
GO:0009699	phenylpropanoid biosynthetic process	2
GO:0009736	cytokinin-activated signaling pathway	2
GO:0010087	phloem or xylem histogenesis	2
GO:0010112	regulation of systemic acquired resistance	2
GO:0010152	pollen maturation	2
GO:0010212	response to ionizing radiation	2
GO:0010305	leaf vascular tissue pattern formation	2
GO:0016117	carotenoid biosynthetic process	2
GO:0016226	iron-sulfur cluster assembly	2
GO:0016477	cell migration	2
GO:0016925	protein sumoylation	2
GO:0016998	cell wall macromolecule catabolic process	2
GO:0019318	hexose metabolic process	2
GO:0030150	protein import into mitochondrial matrix	2
GO:0030154	cell differentiation	2
GO:0030418	nicotianamine biosynthetic process	2
GO:0030490	maturation of SSU-rRNA	2
GO:0031204	post-translational protein targeting to membrane, translocation	2
GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing	2
GO:0042254	ribosome biogenesis	2
GO:0042391	regulation of membrane potential	2
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	2
GO:0045036	protein targeting to chloroplast	2
GO:0045037	protein import into chloroplast stroma	2
GO:0045492	xylan biosynthetic process	2
GO:0045892	negative regulation of DNA-templated transcription	2
GO:0046168	glycerol-3-phosphate catabolic process	2
GO:0046622	positive regulation of organ growth	2
GO:0048511	rhythmic process	2
GO:0050982	detection of mechanical stimulus	2
GO:0051017	actin filament bundle assembly	2
GO:0051177	meiotic sister chromatid cohesion	2
GO:0051252	regulation of RNA metabolic process	2
GO:0055085	transmembrane transport	2
GO:0071260	cellular response to mechanical stimulus	2
GO:0080037	negative regulation of cytokinin-activated signaling pathway	2
GO:1900150	regulation of defense response to fungus	2
GO:1901259	chloroplast rRNA processing	2
