GO	GO_Desc	Count
GO:0005524	ATP binding	205
GO:0004674	protein serine/threonine kinase activity	84
GO:0046872	metal ion binding	79
GO:0003677	DNA binding	64
GO:0004672	protein kinase activity	61
GO:0005506	iron ion binding	57
GO:0003723	RNA binding	55
GO:0020037	heme binding	54
GO:0008270	zinc ion binding	51
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	45
GO:0004497	monooxygenase activity	44
GO:0043531	ADP binding	44
GO:0003676	nucleic acid binding	39
GO:0016887	ATP hydrolysis activity	37
GO:0008234	cysteine-type peptidase activity	36
GO:0022857	transmembrane transporter activity	33
GO:0016491	oxidoreductase activity	24
GO:0030246	carbohydrate binding	24
GO:0003700	DNA-binding transcription factor activity	23
GO:0016787	hydrolase activity	21
GO:0004565	beta-galactosidase activity	16
GO:0005509	calcium ion binding	16
GO:0005525	GTP binding	16
GO:0008422	beta-glucosidase activity	16
GO:0033907	beta-D-fucosidase activity	16
GO:0061630	ubiquitin protein ligase activity	16
GO:0003735	structural constituent of ribosome	15
GO:0046983	protein dimerization activity	15
GO:0016788	hydrolase activity, acting on ester bonds	14
GO:0030598	rRNA N-glycosylase activity	14
GO:0140359	ABC-type transporter activity	13
GO:0003729	mRNA binding	12
GO:0000287	magnesium ion binding	11
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	11
GO:0050734	hydroxycinnamoyltransferase activity	11
GO:0003924	GTPase activity	10
GO:0003951	NAD+ kinase activity	10
GO:0008168	methyltransferase activity	10
GO:0030247	polysaccharide binding	10
GO:0043565	sequence-specific DNA binding	10
GO:0008194	UDP-glycosyltransferase activity	9
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	8
GO:0008171	O-methyltransferase activity	8
GO:0008289	lipid binding	8
GO:0010333	terpene synthase activity	8
GO:0015297	antiporter activity	8
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	8
GO:0051537	2 iron, 2 sulfur cluster binding	8
GO:0080030	methyl indole-3-acetate esterase activity	8
GO:0080031	methyl salicylate esterase activity	8
GO:0080032	methyl jasmonate esterase activity	8
GO:0090729	toxin activity	8
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	7
GO:0016740	transferase activity	7
GO:0051213	dioxygenase activity	7
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	6
GO:0003712	transcription coregulator activity	6
GO:0004364	glutathione transferase activity	6
GO:0004842	ubiquitin-protein transferase activity	6
GO:0004867	serine-type endopeptidase inhibitor activity	6
GO:0016929	deSUMOylase activity	6
GO:0080043	quercetin 3-O-glucosyltransferase activity	6
GO:0080044	quercetin 7-O-glucosyltransferase activity	6
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	5
GO:0001054	RNA polymerase I activity	5
GO:0001056	RNA polymerase III activity	5
GO:0003746	translation elongation factor activity	5
GO:0004386	helicase activity	5
GO:0004515	nicotinate-nucleotide adenylyltransferase activity	5
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	5
GO:0004843	cysteine-type deubiquitinase activity	5
GO:0004845	uracil phosphoribosyltransferase activity	5
GO:0004849	uridine kinase activity	5
GO:0005227	calcium-activated cation channel activity	5
GO:0005516	calmodulin binding	5
GO:0008553	P-type proton-exporting transporter activity	5
GO:0008725	DNA-3-methyladenine glycosylase activity	5
GO:0016301	kinase activity	5
GO:0043771	cytidine kinase activity	5
GO:0046982	protein heterodimerization activity	5
GO:0047262	polygalacturonate 4-alpha-galacturonosyltransferase activity	5
GO:0051539	4 iron, 4 sulfur cluster binding	5
GO:0140662	ATP-dependent protein folding chaperone	5
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	4
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding	4
GO:0003690	double-stranded DNA binding	4
GO:0003824	catalytic activity	4
GO:0004185	serine-type carboxypeptidase activity	4
GO:0004523	RNA-DNA hybrid ribonuclease activity	4
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding	4
GO:0010181	FMN binding	4
GO:0015293	symporter activity	4
GO:0016251	RNA polymerase II general transcription initiation factor activity	4
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	4
GO:0016746	acyltransferase activity	4
GO:0017172	cysteine dioxygenase activity	4
GO:0035251	UDP-glucosyltransferase activity	4
GO:0035673	oligopeptide transmembrane transporter activity	4
GO:0042910	xenobiotic transmembrane transporter activity	4
GO:0051082	unfolded protein binding	4
GO:0051287	NAD binding	4
GO:0071949	FAD binding	4
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	3
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	3
GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity	3
GO:0003973	(S)-2-hydroxy-acid oxidase activity	3
GO:0003993	acid phosphatase activity	3
GO:0004108	citrate (Si)-synthase activity	3
GO:0004144	diacylglycerol O-acyltransferase activity	3
GO:0004177	aminopeptidase activity	3
GO:0004197	cysteine-type endopeptidase activity	3
GO:0004568	chitinase activity	3
GO:0004713	protein tyrosine kinase activity	3
GO:0005507	copper ion binding	3
GO:0008146	sulfotransferase activity	3
GO:0008237	metallopeptidase activity	3
GO:0008374	O-acyltransferase activity	3
GO:0009055	electron transfer activity	3
GO:0015144	carbohydrate transmembrane transporter activity	3
GO:0016791	phosphatase activity	3
GO:0016829	lyase activity	3
GO:0016844	strictosidine synthase activity	3
GO:0016992	lipoate synthase activity	3
GO:0019171	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	3
GO:0019843	rRNA binding	3
GO:0019887	protein kinase regulator activity	3
GO:0030145	manganese ion binding	3
GO:0030515	snoRNA binding	3
GO:0030527	structural constituent of chromatin	3
GO:0030599	pectinesterase activity	3
GO:0031418	L-ascorbic acid binding	3
GO:0031624	ubiquitin conjugating enzyme binding	3
GO:0047325	inositol-3,4,5,6-tetrakisphosphate 1-kinase activity	3
GO:0047372	monoacylglycerol lipase activity	3
GO:0052725	inositol-1,3,4-trisphosphate 6-kinase activity	3
GO:0052726	inositol-1,3,4-trisphosphate 5-kinase activity	3
GO:0090447	glycerol-3-phosphate 2-O-acyltransferase activity	3
GO:0001671	ATPase activator activity	2
GO:0003697	single-stranded DNA binding	2
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	2
GO:0003843	1,3-beta-D-glucan synthase activity	2
GO:0003852	2-isopropylmalate synthase activity	2
GO:0003856	3-dehydroquinate synthase activity	2
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	2
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	2
GO:0004190	aspartic-type endopeptidase activity	2
GO:0004222	metalloendopeptidase activity	2
GO:0004326	tetrahydrofolylpolyglutamate synthase activity	2
GO:0004407	histone deacetylase activity	2
GO:0004521	RNA endonuclease activity	2
GO:0004564	beta-fructofuranosidase activity	2
GO:0004601	peroxidase activity	2
