GO	GO_Desc	Count
GO:0005524	ATP binding	74
GO:0046872	metal ion binding	50
GO:0003677	DNA binding	43
GO:0020037	heme binding	27
GO:0004672	protein kinase activity	23
GO:0004674	protein serine/threonine kinase activity	23
GO:0022857	transmembrane transporter activity	23
GO:0016491	oxidoreductase activity	21
GO:0003700	DNA-binding transcription factor activity	19
GO:0008270	zinc ion binding	19
GO:0003735	structural constituent of ribosome	17
GO:0005506	iron ion binding	16
GO:0003676	nucleic acid binding	15
GO:0003723	RNA binding	15
GO:0005509	calcium ion binding	15
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	15
GO:0004497	monooxygenase activity	14
GO:0016887	ATP hydrolysis activity	14
GO:0030246	carbohydrate binding	10
GO:0046983	protein dimerization activity	10
GO:0005525	GTP binding	9
GO:0016787	hydrolase activity	9
GO:0003729	mRNA binding	8
GO:0043531	ADP binding	8
GO:0050660	flavin adenine dinucleotide binding	8
GO:0003924	GTPase activity	7
GO:0030247	polysaccharide binding	7
GO:0046982	protein heterodimerization activity	7
GO:0140825	lactoperoxidase activity	7
GO:0000287	magnesium ion binding	6
GO:0000976	transcription cis-regulatory region binding	6
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	6
GO:0016740	transferase activity	6
GO:0016788	hydrolase activity, acting on ester bonds	6
GO:0035251	UDP-glucosyltransferase activity	6
GO:0050734	hydroxycinnamoyltransferase activity	6
GO:0004252	serine-type endopeptidase activity	5
GO:0004364	glutathione transferase activity	5
GO:0004601	peroxidase activity	5
GO:0004842	ubiquitin-protein transferase activity	5
GO:0005507	copper ion binding	5
GO:0061630	ubiquitin protein ligase activity	5
GO:0140359	ABC-type transporter activity	5
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	4
GO:0003824	catalytic activity	4
GO:0004185	serine-type carboxypeptidase activity	4
GO:0004190	aspartic-type endopeptidase activity	4
GO:0004427	inorganic diphosphate phosphatase activity	4
GO:0004843	cysteine-type deubiquitinase activity	4
GO:0008168	methyltransferase activity	4
GO:0008970	phospholipase A1 activity	4
GO:0015297	antiporter activity	4
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	4
GO:0140662	ATP-dependent protein folding chaperone	4
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	3
GO:0003993	acid phosphatase activity	3
GO:0004386	helicase activity	3
GO:0004565	beta-galactosidase activity	3
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	3
GO:0004807	triose-phosphate isomerase activity	3
GO:0008017	microtubule binding	3
GO:0008422	beta-glucosidase activity	3
GO:0015144	carbohydrate transmembrane transporter activity	3
GO:0016301	kinase activity	3
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	3
