Query	Accession	Product_Name	OrthoDB	OrthoDB_Desc	Zen_OrthoDB	Zen_OrthoDB_Desc	UKB_OrthoDB	UKB_OrthoDB_Desc	GO_BP	GO_MF	GO_CC	Evidence_existence	InterPro	Pfam	UKB_GO_BP	UKB_GO_MF	Identity	Length	Evalue	Score	ODB_OG	ODB_Description	ODB_GO_MF	ODB_GO_BP	ODB_EC	ODB_COG_category	ODB_KEGG_ko	ODB_Interpro	ODB_evalue	ODB_score
tr_A0A8J9RE89_A0A8J9RE89_9CHLO	A0A8J9RE89	UMP-CMP kinase	40293at33090	Guanylate kinase	442176at2759	kinase	NA		GO:0006207,GO:0046705,GO:0006225	GO:0004127,GO:0005524,GO:0033862	GO:0005737,GO:0005634	3	IPR000850,IPR033690,IPR027417,IPR006266	PF00406	GO:0006207,GO:0046705,GO:0006225	GO:0004127,GO:0005524,GO:0033862	100	256	3.37e-183	509	40293at33090	Guanylate kinase	GO:0005524,GO:0005516,GO:0016301,GO:0016740,GO:0019205,GO:0004385,GO:0000166	GO:0016310,GO:0046710,GO:0046037,GO:0006163	2.7.4.3	F,G,K,J	-	IPR017665,IPR020590,IPR027417,IPR000850,IPR000048,IPR008145,IPR007858,IPR033690,IPR049629,IPR008144	1.25e-47	33.2
tr_A0A8J9SJD7_A0A8J9SJD7_9CHLO	A0A8J9SJD7	Kynureninase	1522005at33090	Pyridoxal phosphate-dependent transferase	75004at3041	Pyridoxal phosphate-dependent transferase	NA		GO:0034354,GO:0043420,GO:0097053,GO:0019805,GO:0006569	GO:0030429,GO:0030170	GO:0005737	3	IPR010111,IPR015424,IPR015421,IPR015422	PF22580	GO:0034354,GO:0043420,GO:0097053,GO:0019805,GO:0006569	GO:0030429,GO:0030170	100	558	0	1085	1522005at33090	Pyridoxal phosphate-dependent transferase	GO:0030429,GO:0016787,GO:0030170	GO:0019363,GO:0019441,GO:0006569,GO:0097053,GO:0034354,GO:0019805	3.7.1.3	E,F,H,J	-	IPR015422,IPR015424,IPR000192,IPR015421,IPR010111	0	236.56
tr_A0A8J9SMT5_A0A8J9SMT5_9CHLO	A0A8J9SMT5	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta	1436356at33090	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit	537915at2759	ATP-dependent	NA		GO:0006002,GO:0009749	GO:0003872,GO:0005524,GO:0047334,GO:0046872	GO:0005829	3	IPR022953,IPR011183,IPR000023,IPR035966	PF00365	GO:0006002,GO:0009749	GO:0003872,GO:0005524,GO:0047334,GO:0046872	100	595	0	1179	1436356at33090	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit	GO:0047334,GO:0003872,GO:0016740,GO:0016301,GO:0046872,GO:0005524,GO:0003824	GO:0015979,GO:0061615,GO:0009749,GO:0016310,GO:0046835,GO:0006002	2.7.1.90	G,T,K	-	IPR000023,IPR011183,IPR022953,IPR035966	2.67e-174	111.78
tr_A0A8J9SX22_A0A8J9SX22_9CHLO	A0A8J9SX22	Adenylyltransferase and sulfurtransferase MOCS3	1526193at33090	adenylyltransferase	72181at3041	adenylyltransferase	NA		GO:0006777,GO:0002143	GO:0070566,GO:0005524,GO:0046872,GO:0004792,GO:0042292	GO:0005829	3	IPR028885,IPR001763,IPR036873,IPR045886,IPR000594,IPR035985	PF00581,PF00899	GO:0006777,GO:0002143	GO:0070566,GO:0005524,GO:0046872,GO:0004792,GO:0042292	100	497	0	981	1526193at33090	adenylyltransferase	GO:0004792,GO:0016779,GO:0042292,GO:0016740,GO:0005524,GO:0000166,GO:0008146,GO:0046872,GO:0003824,GO:0016783,GO:0070566	GO:0002143,GO:0032447,GO:0008033,GO:0002098,GO:0006777,GO:0034227	-	O,T,J	-	IPR028885,IPR045886,IPR000594,IPR035985,IPR036873,IPR001763	5.26e-150	112.59
tr_A0A8J9R9U0_A0A8J9R9U0_9CHLO	A0A8J9R9U0	DNA replication licensing factor MCM4	1520361at33090	DNA replication licensing factor	882at75966	DNA replication licensing factor MCM4	NA		GO:0006270,GO:0006268	GO:0005524,GO:0003677,GO:0003678,GO:0016787	GO:0042555,GO:0005634	3	IPR031327,IPR008047,IPR018525,IPR001208,IPR041562,IPR027925,IPR033762,IPR012340,IPR027417	PF00493,PF17855,PF14551,PF17207	GO:0006270,GO:0006268	GO:0005524,GO:0003677,GO:0003678,GO:0016787	100	839	0	1606	1520361at33090	DNA replication licensing factor	GO:0005524,GO:0000166,GO:0016787	GO:0032508,GO:0006268,GO:0006271,GO:0000727,GO:1902975	3.6.4.12	X,L,T	-	IPR031327,IPR033762,IPR008047,IPR001208,IPR036388,IPR041562,IPR018525,IPR027417,IPR012340,IPR027925	2.68e-220	98.86
tr_A0A8J9RA54_A0A8J9RA54_9CHLO	A0A8J9RA54	Tubulin gamma chain	316424at33090	Tubulin	69845at3041	Tubulin	NA		GO:0031122,GO:0000212,GO:0007020,GO:0000070,GO:0007052	GO:0005525,GO:0005200	GO:0005737,GO:0000930,GO:0005874,GO:0005634,GO:0005819	3	IPR002454,IPR008280,IPR000217,IPR037103,IPR018316,IPR036525,IPR023123,IPR017975,IPR003008	PF00091,PF03953	GO:0031122,GO:0000212,GO:0007020,GO:0000070,GO:0007052	GO:0005525,GO:0005200	100	488	0	945	316424at33090	Tubulin	GO:0005525,GO:0005200,GO:0000166	GO:0007020,GO:0007017,GO:0031122	-	T,N,K,D	-	IPR018316,IPR008280,IPR023123,IPR017975,IPR037103,IPR002454,IPR000217,IPR003008,IPR036525	4.56e-268	196.26
tr_A0A8J9RBC4_A0A8J9RBC4_9CHLO	A0A8J9RBC4	Hydroxymethylglutaryl-CoA synthase	1207492at33090	Hydroxymethylglutaryl-coa synthase	43478at3041	hydroxymethylglutaryl-CoA synthase	NA		GO:0006084,GO:0010142,GO:0016126	GO:0004421	NA	3	IPR000590,IPR013746,IPR013528,IPR010122,IPR016039	PF08540,PF01154	GO:0006084,GO:0010142,GO:0016126	GO:0004421	100	575	0	1104	1207492at33090	Hydroxymethylglutaryl-coa synthase	GO:0004421,GO:0016740	GO:0010142,GO:0006084,GO:0016126,GO:0006694,GO:0006629,GO:0008202,GO:0006696	2.3.3.10	I,Q,E	-	IPR010122,IPR016039,IPR000590,IPR013746,IPR013528	1.17e-144	104.82
tr_A0A8J9RC01_A0A8J9RC01_9CHLO	A0A8J9RC01	E3 ubiquitin-protein ligase listerin	403886at33090	E3 ubiquitin-protein ligase listerin	6108at2759	ubiquitin-protein ligase E3	NA		GO:0016567,GO:0072344,GO:1990116	GO:0046872,GO:0043023,GO:0061630	GO:0005829,GO:1990112	3	IPR016024,IPR039795,IPR039804,IPR001841,IPR013083	PF22999,PF23009	GO:0016567,GO:0072344,GO:1990116	GO:0046872,GO:0043023,GO:0061630	100	1855	0	3518	403886at33090	E3 ubiquitin-protein ligase listerin	GO:0046872,GO:0016740,GO:0043023	GO:1990116,GO:0072344,GO:0043161,GO:0016567	2.3.2.27	Q,V,T,P	-	IPR039795	5.21e-75	18.77
tr_A0A8J9RCB7_A0A8J9RCB7_9CHLO	A0A8J9RCB7	Crossover junction endonuclease MUS81	55919at33090	Crossover junction endonuclease Mus81	5963188at2759	endonuclease	NA		GO:0006308,GO:0000727,GO:0031573,GO:0000712	GO:0048257,GO:0008821,GO:0003677,GO:0046872	GO:0048476,GO:0005634	3	IPR027421,IPR042530,IPR006166,IPR033309,IPR011335,IPR015940,IPR009060,IPR036388,IPR047417,IPR047416	PF02732,PF00627	GO:0006308,GO:0000727,GO:0031573,GO:0000712	GO:0048257,GO:0008821,GO:0003677,GO:0046872	100	1123	0	1999	55919at33090	Crossover junction endonuclease Mus81	GO:0046872,GO:0004518,GO:0004519,GO:0016787,GO:0048257	GO:0006308,GO:0006310,GO:0006281,GO:0006302,GO:0000712,GO:0000727	-	L,O,J	ko00061,ko01040,ko01212	IPR047416,IPR006166,IPR042530,IPR011335,IPR047417,IPR036388,IPR033309	0	180.99
tr_A0A8J9RCL3_A0A8J9RCL3_9CHLO	A0A8J9RCL3	DNA topoisomerase 6 subunit A	1405863at33090	topoisomerase	699at75966	topoisomerase	NA		GO:0006265	GO:0005524,GO:0003677,GO:0003918,GO:0000287	GO:0005694,GO:0009330,GO:0005634	3	IPR002815,IPR013049,IPR036078,IPR049333,IPR004085,IPR034136,IPR036388	PF21180,PF20768,PF04406	GO:0006265	GO:0005524,GO:0003677,GO:0003918,GO:0000287	100	418	1.55e-297	812	1405863at33090	topoisomerase	GO:0003824,GO:0005524,GO:0016853,GO:0046872	GO:0042138,GO:0000706,GO:0006265	5.6.2.2	L,P,E	-	IPR013049,IPR004085,IPR002815,IPR034136,IPR036388,IPR036078	1.42e-222	190.61
